index	char	source	confidence	uses	alts
489	器	ruby	high	34	
490	蘇	reading	medium	2	蘚蘇鮮蚌黻
491	兵	additional_context_confirmed	high	2	統絖紘硫絋
492	器	additional_context_confirmed	high	3	
493	穢	okurigana	medium	72	瘋撞擁櫨掩
494	統	additional_context_confirmed	high	2	躱
495	震	ruby	medium	1	
496	点	ruby	high	37	
497	犠	ruby	high	4	
498	牲	ruby	high	4	
499	痛	bitmap	low	11	痛燐廉滿癢
500	機	context	medium	14	鐡鐵織纎嫐
501	搾	bitmap	low	2	陣搾抔拌停
502	満	additional_context_confirmed	high	28	納齣肭蚋訥
503	画	additional_context_confirmed	high	20	
504	拝	additional_context_confirmed	high	2	革甚蒹棊茱
505	納	additional_context_confirmed	high	3	飯骰敗篋搬
506	番	ruby	high	69	
507	茶	additional_context_confirmed	high	9	
508	飯	additional_context_confirmed	high	81	岻
509	想	ruby	high	39	
510	濃	ruby	high	55	
511	皷	ruby	medium	18	娯
512	番	additional_context_confirmed	high	11	瞳瘋義銓嵐
513	正	context	medium	104	正王走笙玉
514	俗	context	medium	28	鍵獅鍜鉚鷯
515	途	ruby	high	13	
516	乗	okurigana	medium	12	寄嵜害蹇寨
517	歩	okurigana	medium	9	歩事拳箏幸
518	義	additional_context_confirmed	high	65	
519	正	additional_context_confirmed	high	4	攸皎栓敗找
520	屠	ruby	medium	7	撮
521	余	ruby	high	21	
522	十	context	medium	22	｜十ｆ＋｛
523	裏	ruby	high	20	
524	悪	additional_context_confirmed	high	8	
525	枚	additional_context_confirmed	high	56	突
526	撮	additional_context_confirmed	high	26	慟働鶻黴鶺
527	鬱	ruby	high	4	
528	十	additional_context_confirmed	high	20	
529	程	ruby	medium	29	
530	貞	bitmap	low	1	賣貞貧資買
531	欷	bitmap	low	1	飲欷歓飮敏
532	苦	context	medium	29	苦若荅苔罟
533	蔵	context	medium	8	巌慮厳嵐凰
534	宣	ruby	high	4	
535	抵	ruby	high	5	
536	貢	additional_context_confirmed	high	8	
537	献	additional_context_confirmed	high	28	艤膓鐃腸餽
538	遠	ruby	high	12	
539	和	ruby	high	13	
540	誘	ruby	high	6	
541	謝	ruby	medium	37	
542	求	ruby	high	9	
543	俺	ruby	medium	23	
544	餤	bitmap	low	1	皎餤鯰餃脱
545	田	ruby	medium	5	
546	容	ruby	high	82	
547	警	ruby	high	128	
548	廣	okurigana	low	3	癰輾蜒癢軅
549	換	ruby	high	43	
550	念	additional_context_confirmed	high	28	念蠢盒蠡倉
551	伴	okurigana	medium	5	腹鰒篋蹴膣
552	屈	ruby	high	22	
553	警	additional_context_confirmed	high	17	
554	怖	additional_context_confirmed	high	57	
555	闘	ruby	high	6	
556	狂	okurigana	medium	5	技挂伎按控
557	則	ruby	medium	3	
558	屈	additional_context_confirmed	high	36	
559	辱	additional_context_confirmed	high	8	乱亂齔扎畠
560	緩	okurigana	medium	18	懺鐓繼懴躑
561	舞	okurigana	low	10	努勢暼筍笥
562	土	context	medium	11	士｜ｆ】｛
563	挙	okurigana	medium	16	庵崖座庫申
564	落	additional_context_confirmed	high	45	全仝金奎企
565	乱	additional_context_confirmed	high	2	
566	気	additional_context_confirmed	high	19	攤儺搬鶻飾
567	争	additional_context_confirmed	high	33	単畊寧麻申
568	土	additional_context_confirmed	high	10	唐済癢儀倚
569	座	additional_context_confirmed	high	19	弟萌麝截骸
